"date","datatype","station","value","fl_m","fl_q","fl_so","fl_t","units"
"2016-05-11T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2016-05-15T00:00:00","PRCP","GHCND:AR000875850",3,"","","S","","mm_tenths"
"2016-05-16T00:00:00","PRCP","GHCND:AR000875850",30,"","","S","","mm_tenths"
"2016-05-17T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2016-05-29T00:00:00","PRCP","GHCND:AR000875850",310,"","","S","","mm_tenths"
"2016-05-30T00:00:00","PRCP","GHCND:AR000875850",41,"","","S","","mm_tenths"
"2016-05-31T00:00:00","PRCP","GHCND:AR000875850",3,"","","S","","mm_tenths"
"2016-06-01T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2016-06-02T00:00:00","PRCP","GHCND:AR000875850",8,"","","S","","mm_tenths"
"2016-06-03T00:00:00","PRCP","GHCND:AR000875850",30,"","","S","","mm_tenths"
"2016-06-04T00:00:00","PRCP","GHCND:AR000875850",20,"","","S","","mm_tenths"
"2016-06-05T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2016-06-06T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2016-06-10T00:00:00","PRCP","GHCND:AR000875850",8,"","","S","","mm_tenths"
"2016-06-11T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2016-06-26T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2016-06-27T00:00:00","PRCP","GHCND:AR000875850",130,"","","S","","mm_tenths"
"2016-06-28T00:00:00","PRCP","GHCND:AR000875850",61,"","","S","","mm_tenths"
"2016-06-29T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2016-06-30T00:00:00","PRCP","GHCND:AR000875850",3,"","","S","","mm_tenths"
"2016-07-01T00:00:00","PRCP","GHCND:AR000875850",30,"","","S","","mm_tenths"
"2016-07-02T00:00:00","PRCP","GHCND:AR000875850",51,"","","S","","mm_tenths"
"2016-07-03T00:00:00","PRCP","GHCND:AR000875850",399,"","","S","","mm_tenths"
"2016-07-04T00:00:00","PRCP","GHCND:AR000875850",480,"","","S","","mm_tenths"
"2016-07-05T00:00:00","PRCP","GHCND:AR000875850",5,"","","S","","mm_tenths"
"2016-07-06T00:00:00","PRCP","GHCND:AR000875850",51,"","","S","","mm_tenths"
"2016-07-07T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2016-07-12T00:00:00","PRCP","GHCND:AR000875850",140,"","","S","","mm_tenths"
"2016-07-13T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2016-07-15T00:00:00","PRCP","GHCND:AR000875850",10,"","","S","","mm_tenths"
"2016-07-16T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2016-07-26T00:00:00","PRCP","GHCND:AR000875850",290,"","","S","","mm_tenths"
"2016-07-27T00:00:00","PRCP","GHCND:AR000875850",221,"","","S","","mm_tenths"
"2016-07-28T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2016-07-31T00:00:00","PRCP","GHCND:AR000875850",8,"","","S","","mm_tenths"
"2016-08-01T00:00:00","PRCP","GHCND:AR000875850",160,"","","S","","mm_tenths"
"2016-08-02T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2016-08-06T00:00:00","PRCP","GHCND:AR000875850",20,"","","S","","mm_tenths"
"2016-08-07T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2016-08-09T00:00:00","PRCP","GHCND:AR000875850",30,"","","S","","mm_tenths"
"2016-08-10T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2016-08-27T00:00:00","PRCP","GHCND:AR000875850",61,"","","S","","mm_tenths"
"2016-08-28T00:00:00","PRCP","GHCND:AR000875850",470,"","","S","","mm_tenths"
"2016-08-29T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2016-09-05T00:00:00","PRCP","GHCND:AR000875850",119,"","","S","","mm_tenths"
"2016-09-06T00:00:00","PRCP","GHCND:AR000875850",130,"","","S","","mm_tenths"
"2016-09-07T00:00:00","PRCP","GHCND:AR000875850",30,"","","S","","mm_tenths"
"2016-09-08T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2016-09-09T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2016-09-12T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2016-09-13T00:00:00","PRCP","GHCND:AR000875850",269,"","","S","","mm_tenths"
"2016-09-14T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2016-09-18T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2016-10-01T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2016-10-02T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2016-10-03T00:00:00","PRCP","GHCND:AR000875850",41,"","","S","","mm_tenths"
"2016-10-04T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2016-10-05T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2016-10-06T00:00:00","PRCP","GHCND:AR000875850",3,"","","S","","mm_tenths"
"2016-10-07T00:00:00","PRCP","GHCND:AR000875850",79,"","","S","","mm_tenths"
"2016-10-08T00:00:00","PRCP","GHCND:AR000875850",30,"","","S","","mm_tenths"
"2016-10-09T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2016-10-11T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2016-10-13T00:00:00","PRCP","GHCND:AR000875850",10,"","","S","","mm_tenths"
"2016-10-14T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2016-10-15T00:00:00","PRCP","GHCND:AR000875850",340,"","","S","","mm_tenths"
"2016-10-16T00:00:00","PRCP","GHCND:AR000875850",170,"","","S","","mm_tenths"
"2016-10-17T00:00:00","PRCP","GHCND:AR000875850",0,"","","S","","mm_tenths"
"2016-10-19T00:00:00","PRCP","GHCND:AR000875850",391,"","","S","","mm_tenths"
